,label,original
283,1,"Don't watch this movie expecting the Jane Austen wit, crisp dialog or clever social commentary. This time around, the premise of Northanger Abbey has been updated in a very sensual way!    In this version, Catherine's erotic daydreams are not just silly fantasies, but a connection to the world of adult sexuality she is just peeking into with her daylight adventures. By day she is very prim and demure, and her swain Henry treats her with the utmost courtesy. But as her own sexual nature awakens, her daydreams shift every so subtly from mild to steamy to lurid!    At the beginning of the story, Catherine's visions of sex are based entirely on the Gothic novels she devours in bed. It is both heartwarming, sexy, and provocative to observe the way her dreamy picture of handsome Henry "" dissolves "" into a lurid dream of being carried off and ravished by romantic villains! At the same time, it is wry and touching to cut back to her bed in the morning -- Catherine sleeping peacefully looks so innocent one would never guess what really goes on in that pretty little head!    Later, after being invited to Henry's castle, Catherine overhears a family argument and totally misunderstands its meaning. Jumping into bed, she covers herself up with the bedsheets and lies awake listening fearfully, her striking blue eyes the only visible sign that she is alert. Little by little, however, those pretty blue eyes droop and close as she drifts into another heated dream of innocent desire. This time, Catherine dreams she is in Elizabethan times, waiting fearfully outside the castle for the approach of the "" banditi! "" It's pretty clear she is more excited than terrified by the idea of being carried off by bandits. She all but shudders with excitement and anticipation! But then, after a shot of her running frantically to escape, we are back to the daylight world, where the maid is scolding her for having made a mess of her room before falling into a sound sleep. It's worth noting that Catherine's heavyeyed yawning in the morning light is itself a rather sensual symbol of how passionate her dreams have been!    Ultimately, of course, Catherine's stern and unimaginative lover Henry divines the nature of her fantasies and gives her a stern lecture. It's interesting that Catherine's immediate collapse into tears symbolizes not a retreat but an advance into adult relationships. In the next scene, she tearfully burns her Gothic romance and throws herself shamefaced and sobbing onto the bed. Significantly, this turning point is also marked by Catherine falling into a deep sleep -- except that this time, there are no dreams of make believe passion. Presumably, Catherine has matured enough to be ready for the real thing. Though Katherine Schlesinger has lovely blue eyes and a lively expression, and all her performance is charming, it must be said that outside of the heated dream sequences this movie adaptation is excruciatingly dull. I'm giving it 9 stars only because the truly romantic may enjoy it purely on a daydream level. If you'd like to read a book about a genuinely strong willed young heroine who overcomes real darkness and danger in a real Gothic setting, I highly recommend THE PERILOUS GARD by Elizabeth Marie Pope."
287,1,"Since this show was changed from TSS ( the screen savers) to AOTS ( attack of the show)it has gone down hill. TSS with Yoshi and Kevin Rose Alex ... etc. Made the show awesome, then they got fired from TSS for an unknown reason. When the show switched to AOTS, it became less about computers, and more about gaming and magazines. It also promoted bands that nobody had heard of, or cared about. Finally I couldn't watch it anymore once Kevin Rose left. He kept it interesting, but he went off to do his own thing, which is good. Kevin Rose now has several online pod casts, and shows, etc on the REV 3 network. Check it out. REV3.com I think, you can get to it by going to www.systm.org. If you want a real tech show rather than aots, then go watch Kevin Roses shows or listen to the tWit podcast. J <"
291,1,"This isn't the video nasty Night of the Demon as there are more than one. Actually, there is only one, but it multiplies. After it inhabits Suzanne ( Scream Queen Linnea Quigley), she passes it on to goth girl Angela ( Amelia Kinkade) through a nice long kiss. Next, we see Linnea showing us her quigleys in the bathroom. She shows a lot more as Jay ( Lance Fenton) thinks he is in for some fun. Soon, everything literally goes to hell as bodies drop one by one and are possessed. Judy ( Cathy Podewell) and Max ( Philip Tanzini) are the last two trying to escape. Max isn't much help, leaving it to Judy to figure a way out. The makeup was absolutely fantastic, and the only thing that kept this from being even better was the extremely long build up to the action. The old man ( Harold Ayer) who appears in the beginning will be back and get his just desserts. Linnea Quigley may be the Scream Queen, but Cathy Podewell definitely showed the greatest lungs in this film."
298,1,"Carrot Top's "" Chairman of the Board "" and his AT&T commercials are living proof that flyblown fecal matter is available in the color orange. Not FREELY available, however, as HBO charges for such garbage. Blehhh! The saving grace of COTB is that it surely fills suicide hotlines across the country, perhaps providing employment for thousands of telephone therapists who lost their jobs when recovered memory treatment was discredited, although ( sadly) Carrot Top probably contributes to his sponsor AT&T's bottom line with the increased phone traffic from devastated HBO viewers. I can visualize the hordes of traumatized TV viewers, phone in one hand and fully loaded .45 auto in the other hand, dialing out of lastminute desperation before walking off the plank of life to escape the specter of COTB's orangehaired monster echoing in their synapses like the agony of searing, irreversible meningeal swelling."
301,1,"There's a unique place in the pantheon of John Ford films for Wagonmaster, Sergeant Rutledge, and The Sun Shines Bright. It was these three films with no box office names in them that Ford didn't have to tailor the film around the persona of a star being it John Wayne, Henry Fonda, or any of the others he worked with. Not surprising that Ford considered all these as favorites of one kind or another.    Ben Johnson and Harry Carey, Jr. a couple of likable cowpokes sign on to guide a Mormon wagon train to a valley in Arizona territory. Along the way they are joined first by a group stranded players from a medicine show and then by a family of outlaws on the run named Clegg. Their stories merge and what happens is the basis of the film's plot. Had Wagonmaster been done even 10 years earlier on the strength of the two performances turned in by Johnson and Carey, both probably would have had substantial careers as B picture cowboys. In the case of Johnson it would have been art imitating life. Johnson was a real rodeo cowboy and came to Hollywood with a string of horses for John Ford to use in Fort Apache. Ford was struck by his presence and the rest is history.    But the day of the B western was drawing to a close and Johnson and Carey had great careers as two fine character actors. Ward Bond plays Elder Wiggs leader of the Mormons. Bond is a recent convert though and has trouble remembering to not use some four letter words. But he's the leader because of his strength of character, not his impeccable LDS theology. He turns out to be a wise and compassionate leader. In portraying the Cleggs, Ford only had to reach back four years to his My Darling Clementine. They are the reincarnation of the Clanton gang and pure evil. In fact if Walter Brennan who after My Darling Clementine refused to ever work for Ford again was willing I could easily see him being cast as Shiloh Clegg the head of the family. As it was Charles Kemper did a fine job, this is probably the role he's most noted for. Shortly after this film was done, Kemper was killed in automobile crash. He might very well have worked for Ford in the future. Ford makes the Mormons pacifists here and I don't recall that pacifism was part of LDS doctrine. Nevertheless it works here, the whole idea being that these people who carry no weapons are innocents when dealing with evil people like the Cleggs. It takes some gun toting cowboys to properly dispose of them. I think that this post World War II film is trying to say that pacifism isn't always the best policy.    Another carryover from My Darling Clementine is Alan Mowbray playing the same kind of role he did there as head of the medicine show troupe. Part of that troupe is Joanne Dru who's doing another turn as a woman of elastic virtue the same as she did in Red River. Dru used to do so many westerns that she longed to be out of gingham and into some modern fashions. Wagonmaster is great entertainment and I'm willing to wager in the state of Utah it's a pretty popular film."
303,1,"Not a terrible movie ... But there are monster scenes where you will be rolling on the floor laughingnot a good thing for a action/ thriller. The acting is generally pretty decent for a SciFi channel movie. Barry Corbin plays a credible US senator, and Lou Diamond Phillips again gives us a decent military/ police/ sheriff/ agent/ marshal figure. The special effects are well, "" special "" for example, the external train shots are very obviously a model train. Goofs: A meteor strikes a stationary car in the opening scene. The car bursts into flames but does not budge an inch. After the impact, the meteor is lodged in the top of the car's hoodimpossible from the low angle that the meteor came in at. Spoilers ... A good portion of the movie's events are predictable, from the helicopter crash ( "" Pull up, pull up! ""), to the fact that the annoying people get it in the end, to the classic blown bridge over a 1000 foot gorge awaiting the train, to the sequel setup at the end. The scenes showing the aliens attacking are hilarious. They are vicious cute puppets and move at lightening speedremember the Monty Python rabbit? Spoiler Goof: In one scene four people shooting clip after clip can not hit a single creature because they move at lightning speed. Later in the movie Todd Bridges rigs up a mini flame thrower which he uses to dispatch a number of creatures at close range. On several occasions, Lou Diamond Phillips is able to easily grab creatures with his bare hands."
304,1,"Ocean's Twelve: just plain stupid, bad and nothing compared to the other two. An art robbery. 10 known actors, at least. A weak script and very slow developing idea. That's why I characterize a movie I only saw at least 20 minutes of it. Don't get me wrong, you may like it. But I only like the Ocean's films because of the Heist theme. If Ocean's 12 it's not about Heist then what's the point to see it? Glad Soderberg saw his main error and redeemed himself by making a film far superior to the first one. Kudos for that. Steven Soderberg isn't really a good director. Apart from his hit "" Sex lies and videotapes "" ... nothing else happened so much great to the career of this director. Shame on him. But his fault only."
313,1,"The original Airport ( 1970) was a classic of its kind, and the first two Bmovie followups ( Airport 1975; Airport ' 77) were watchable fun at best, amusing camp at worst; but this crass and inept final entry lacks any entertainment value and displays a shocking contempt for its audience. It's unendurable and not even good for laughs.    All of the three "" Airport "" sequels were theatrical releases made by Universal's television wing but this one is beneath even the modest standards of a TV movie of its day, with cheapjack production, grotesque casting, visual ugliness and tasteless, unfunny "" comedy "". The project was clearly doomed by the "" creative "" efforts of Universal executive Jennings Lang who personally produced and is given a "" story "" credit. Everyone starts somewhere, and writer Eric Roth ( Forrest Gump) might have provided an element of selfburlesque, as had the previous films ( especially the notorious Airport 1975), but there is nothing worth spoofing in Roth's turgid, incoherent script and even the comedy Airplane! left this crud untouched. What makes The Concorde: Airport ' 79 particularly offensive is its insulting misuse of professionals. The worst victim is the supremely gifted Cicily Tyson ( Sounder; The Autobiography of Miss Jane Pittman), pitilessly reduced to a vomitous subplot involving her escorting a frozen heart transplant on the unfortunate flight.    A special kick to the groin is reserved for the wonderful George Kennedy, who is the true lead despite being buried in the cast list. The official mascot of the "" Airport "" series and the only actor to appear in all four movies, Kennedy had more than earned the starring role and his turn in the Captain's seat would have been the only possible reason for this entry other than the squeezing of one last buck. Kennedy provides the only warmth and real humor in this mechanical muckup, briefly putting aside the bravura machismo and revealing a genuinely sweet and tender side to himself, and his lovable and heroic character of "" Joe Patroni "". Unfortunately we are never allowed to forget how fat and old and overthehill Kennedy is, and overage prettyboy Alain Delon relentlessly calls him "" Porky Pig "" as part of a buddybonding that falls completely flat. Even Kennedy's Parisian romance, the only humane part of this planewreck, turns out to be merely a setup for a hateful joke at Patroni's, Kennedy's, and the viewer's expense."
339,1,"As a local performer, I thought that "" Grease "" showcased what Broadway producers are looking for and it highlighted a small bit of the acting population. Although my favorites did not win ( but came in second), I enjoyed comparing myself to them and seeing what I liked and where I could improve as a performer. They brought in Olivia NewtonJohn because she is the obvious link between the Broadway production and television audiences. They sang songs from the movie ( "" Hopelessly Devoted, "" et al) because these songs will be included in the new production. I agree with the earlier comment made that the B'Way cast looks so much older, but you must bear in mind that these are people who have been on Broadway and worked their tails off to be there. If the entire cast was green and fresh then I believe that would have compromised the casting process by which producers choose their talent."
343,1,"A nice and pleasant movie full of meditteranean sceneries ( Cephallonia is a very beautiful greek island) that keeps many of the novel's characteristics. I think that greek sceneries add something special and magical to a movie. One thing i didn't like at all though, is that the main characters, like ' Mandras ' and Pelagia's father weren't greek actors but foreigners. I mean the actors tried to express the greek way of living, but to me they didn't succeed and it was quite clear. Even their pronunciation when they were trying to use greek words was terrible and that was bad for the film's plot. Irene Papas was really great in her role, a typical example of a mother, living in a island during the 40's, who has lost her husband and tries to live a child alone. John Hurt, Pelagia's father, also acted great. He reminded me a greek in many of his reactions."
345,1,"I am sure I'm in the minority ( I know I am among my friends), but I found this movie long, boring and gratuitous. The fact that the role played by DENIS LEARY is the most likable character ( the only other time I liked him at all was in "" A Bug's Life ""!) speaks volumes. Rene Russo's character was irritating beyond belief and Thomas Crowne himself was flat and stereotypical. To say he was twodimensional may be a little generous. ( No, the scenes with his psychiatrist did NOT help make him real.) With the exception of two wonderful scenes ( both involving the museum caper and NOT involving Rene Russo), this movie made me wish I were at home watching televised golf."
352,1,"I was expecting a lot from Mr. Amitabh Bachan's role of SARKAR, but am disappointed. Being a Ram Gopal Verma's direction i was not ready for this kind of a movie. Sarkar is supposed to be a strong character, but the movie shows that Amitabh is too dependent on others power rather than his. There is a movie in Tamil called Nayakan based on the theme of GOD FATHER and Kamala Hassan has played the lead. The movie is well directed and the power till the end remains in the hands of Kamala Hassan, not his son. Amitabh Bachan seems to be too helpless in the movie and he just accepts everything instead of changing things. The movie fails to show the strong impact of God Father."
356,1,"This goodguyvstheeviltyrant story, set in 19th century Russia, may have been an attempt to extend Steve Reeves ' career beyond those "" Hercules "" movies. However, despite the different costumes, it's still a "" Hercules "" movie with the usual stilted dialog, haphazard dubbing, and cardboard characters. On the other hand, there's lots of action, the pace rarely flags, and Reeves gets to do yet another one of those scenes where he's stripped to the waist, bound with ropes, and given a vigorous whipping which, needless to say, has little effect on his defiant character."
362,1,"I am surprised that so many comments about this film are positive. Having read the book several times ( and all the other historical novels by Mika Waltari) there is no way to say much good in this film. If I forget the origins of the story I might consider it a reasonably good epic. Of course to bring such a brick of a book to the big screen is a task not to be envied, but it could be done with class. I can't understand why even the name of Nefernefernefer had to be shortened to just Nefer. I love Peter Ustinov as Kaptah and Marlon Brando probably would have made a better Sinuhe but the overall attitude is too Hollywood to ever make justice to the book. Mind you Mika Waltari left the Premier of this film in the middle of the showing. That's how much he liked it."
369,1,"Spike Milligan was one of the funniest men I've ever seen, and a huge influence on my life. This movie is limp and awful, and does his memory no credit. The script is cluttered and preserves too many lines from the book intact ( the leg jokes here are incomprehensible). The actors ' performances are uniformly ineffective, a great cast wasted, and the lead, Sean Hughes, delivers Milligan's belligerent hostilities in a plaintive whine, which misses the point completely. The gentle pacing is a killer as well. Farce should accelerate towards the end. The Goon Shows often did, the novel "" Puckoon "" definitely did, but this film, if anything, slows down just when you want the various elements to smash together in a final climax. Milligan narrated an abridged audio recording of "" Puckoon "" in 1980, with T.P. McKenna, Dermot Kelly, Norma Ronald and Jack Hobbs. Now, that's funny. Ten minutes of that is funnier than this whole film. I believe the LP was transferred to CD, but don't know if it's still in print. There is a movie of "" Adolf Hitler: My Part in his Downfall "" with Jim Dale and Arthur Lowe. It too is a godawful mess, but it's funnier than this thing. It's possible that Milligan's spirit is too rambunctious for the screen. The other reviewers here are indulging in politeness and wishful thinking. This film fumbles virtually every opportunity and never misses a chance to disappoint."
388,1,"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Hitler, he gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Hitler, and personally. For such films should be put to prison for life for the glorification of fascism.    If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985)."
417,1,"I saw the movie in original Italian. It must be said that the acting and interpretation is most heavily polluted by the TVgenerated trend to speak in a severely muffled voice, not moving lips, straining tones, as emerged in the "" That's real life""-productions and "" Let'sraiseour audiencewithafewtears""-screenplaywriting. The late Massimo Girotti towers upon the other characters for intensity, clarity of expression and intellectual honesty. The movie has some good hints, but ( as in another comment before mine) it lacks a focal point and dribbles away in many plotlets of lesser and lesser relevance, another trend dragged in from the TV productions, well known to Italians. A few drops in style could be spared to the public, such as the patisserie drag ( Charm and aesthetics of cooking plus sensual payload of sweets, see Chocolat, Babette's lunch, Vatel etc.) Hammam and the Fairies are definitely more truthful, seems that Ozpetek has learned the tune of Italy in the early 2000s and is humming along ... I'll give him a last chance though ..."
425,1,"The film is a remake of a 1956 BBC serial called'My Friend Charles ', & as such gallops thru the material in a relatively short time. I found it fast moving, enjoyable & unpretentious. Did anyone else notice the scenes, towards the end, where John Mills was being gassed?-the producers obviously decided to omit the scenesmaybe censorship?,but notice when he's sat by the window of the flat, deep breathing closely followed by similar scenes with the car window open. The Francis Durbridge serials all seemed to inhabit the same universe, that of unexplained happenings, people being not what they seem & the villain being someone close to the hero/ victim. A predictable universe in some ways, but one with its own rules & regulations."
431,1,"Danny is beyond sorry. He keeps making the same mistakes, and is no longer interesting to watch. At first I could feel for him, as an addict myself. My heart went out to him at the beginning, and somewhere along the line he went over the line. It is almost as if he is continuing this behavior to keep the show going, and at the same time is seriously risking his life, and the welfare of his family, especially his children. It is difficult even to have pity for the poor boy. I think he needs to watch this show, maybe then he might have a chance a saving this marriage. I can't understand how Gretchen stays with him, and I keep wondering how much is just for show, and how much is love. Danny, get a lifea new one that is! ... and don't get me started on Dr. Gary. What is with him and his face? His skin looks like it's stretched to the max. Besides that, looks don't mean a thing, yet he seems not to be particularly impartial. I think, he too, is keeping this going for his own monetary gain and often not in the best interests of either Gretchen or Danny. These people are few confused and each remind me of a dog chasing its tail. sad, very sad. C'mon pull yourselves together."
438,1,"I just saw this at SIFF, and I absolutely loved it. There were parts where I laughed so hard I couldn't catch my breath. The script and direction by Glenn McQuaid are fantastic. I can't wait to see more from this talented young man. The performances make the movie. Larry Fessenden and Dominic Monaghan are just delightful as the graverobber Willy and his apprentice Arthur. Ron Perlman turns in a fantastic performance ( as usual) as a lessthansympathetic jailhouse priest. Bonus: Angus Scrimm as an unscrupulous doctor! As always, he balances menace and humor perfectly. This is a style of horror comedy that really hasn't been seen since Vincent Price did "" Comedy of Terrors, "" "" The Raven, "" and "" Theater of Blood. "" The movie is genuinely scary in places, then it'll suddenly flip back into hilarious mode, keeping you totally off balance. Some parts are scary and funny at the same time. I can only afford to see three movies at SIFF this year, but even if the other two are awful, "" I Sell The Dead "" was worth the price of all three. I'm going to be looking for more movies from Larry Fessenden's Glass Eye Pix. He's giving the horror genre a muchneeded kick in the butt."
447,1,"Although Humphrey Bogart got star billing in King Of The Underworld, I'm willing to bet he didn't thank Jack Warner for it. In fact this film was one hollow crown. King of the Underworld was supposedly a remake of the Paul Muni film, Dr. Socrates, but given Humphrey Bogart was in the cast, the character is written more like Duke Mantee in The Petrified Forest. He even has an English writer along in the person of James Stephenson. Kay Francis and John Eldredge are a pair of married doctors and Eldredge pulls off a tricky bit of surgery on one of Bogart's henchmen. Bogey's a man who appreciates good work done on his behalf and gives Eldredge$ 500.00 and there's more where that came from if he plays his cards right. Eldredge who has a gambling problem sees a good way to get some undeclared income.    But when he's killed in a raid on the gang's hideout, Francis is also thought to be involved by the law and the American Medical Association no matter how much she protests her innocence. It's no good and she and her aunt Jessie Busley move to a small town to get away from the notoriety. Of course the notoriety and Bogart and an itinerant Leslie Howard like writer in Stephenson all meet up with her again. But Kay is plucky and resourceful to say the least. Bogart's character was ridiculous, no wonder the poor guy was screaming for better parts. He's a gangster who both shoots down people without mercy and gives his henchmen hotfoots just for laughs. He's concerned about his image and therefore kidnaps writer Stephenson to ghost write his autobiography and of course confesses enough to burn him in all 48 states. And then let's Kay Francis completely outsmart him, hard to believe he was king of anything. Definitely one of the lesser works for either of the stars."
449,1,"Following his role in the fine caper SEVEN THIEVES ( 1960)    which I ve watched several years back    Edward G. Robinson seemed to be stuck playing elderly criminal mastermind types ( apart from the odd juicy role as in THE CINCINNATI KID [ 1965 ]). I d previously watched the pretty good EuroCult effort GRAND SLAM ( 1967) and, apart from this, I ve yet two more similar titles from Italy to check    one of which was directed by future goremeister Lucio Fulci! Anyway, this is the kind of international production    featuring American and Italian actors and a British director    which was prevalent during the 1960s; its harmless and easygoing in itself but hardly memorable and definitely overlong    especially since to procure finance for the heavyduty equipment required for the heist ( such as an army tank and an airplane!), the gang involved have to pull a variety of minor thefts first. The gang, of course, is an incompetent lot led by an American ( Robert Wagner) and his bimbo girlfriend ( Raquel Welch)    the others are a pacifist black man, a perennially hungry Italian and a diminutive Englishman. They try to induce an exgangster ( Vittorio De Sica) to turn over his fortune to them, except he s destitutebut, under the auspices of Professor Robinson, he proposes instead a caper of 5 million dollars worth of platinum! Needless to say, the gang members do nt trust one another ( Wagner instructs Welch to seduce De Sica so as to get the name of their fence in Morocco    where they are to retreat after the robbery), or else bungle the job ( commissioned to hold up a restaurant, the Italian ca nt resist sitting at table and order a multicourse meal for himself!). Amusingly, in the face of similar failures, De Sica tries to show them how they used to do it in the old days    however, ostensibly holding up a petrol station, it transpires that the owner is a nephew of his and he merely asked to borrow some cash!    The central heist sequence is typically elaborate: while the gang, including Welch, take the train transporting the platinum, Wagner kidnaps pilot Victor Spinetti and his airplane. When the job is done, he fully intends to doublecross De Sica    but neither his partners nor Welch herself are willing to go along with this, so he s forced to relent. Coming from the time when crime did nt pay, the gang contrives to lose all their stash in midair when the planes bombbay doors are accidentally opened"
453,1,"First off, to rent or watch this film you are expecting something in the Bhorror range. What this film delivers for the astute fan of this genre is quite a hilarious romp via nordic flavor. At times reminding me of the humor of Jackson's Dead Alive and others of a Stuart Gordon flick this little find should have most chuckling throughout.    The f/ x reach a few highs of truly spooky ( the first time Ed meets his nemesis) but generally have the feel that this film was put together by a f/ x team that decided to use any and all props at their disposal from other films ... gremlins, devils, slasher films, etc. to pretty good effect and worked in thru the use of hallucinations.    The gem of the film is the humor. The gore works most of the time but more for laughs. At its heart its a parody and a fun one at that."
459,1,"If there's one word I can associate to this movie, its ' embarrassment '. It must be embarrassing to everyone associated with the movie, to actually watch it in a theatre. Everythingthe script, screenplay, dialogues, song lyrics, directionshoddy, lousy. Saw this movie when I was a kid. Liked it then, mainly because it was a fantasy, a superheromovie. Its a notsoexplored genre in Hindi cinema. The attempt deserves credit, but that's all there is to it. Sashi Kapoor seems to have been in a great hurry in making the movie. Can't understand the reason behind casting foreigners as Hindispeaking characters, who can't even get the sync right ( nothing to say about the dubbing). The screenplay is terrible. The editing even more. If one follows the dialogues closely, one can detect grammaticallywrong sentences ( which completely alter the intended meaning). Nothing special about the music. The biggest embarrassment must be for the Censor board. There are a couple of nipslip scenes in the movie, one of which is absolutely clear ( so much so that I can't even think of a metaphor). The director missed them. The editing team missed it. And the censor board missed it too. So much for the noindecentexposureon screen motto. The officials probably fell asleep while watching the movie. Can't think of why Amitabh went with the role. It might be because he was a good friend of the Kapoors. But the role hardly has anything for him. With wonderful roles in Hum and Agneepath behind him, he couldn't have followed it up with a worse one. There are a couple of heroic scenes, really worthy ones. But otherwise, they're embarrassingly unbelievable ( arrowcatching for instance .. it probably could've been better with CGI, but it was ' 91 ..). Dimple and Sonam do not exactly set the screen on fire. Shammi Kapoor and Rishi Kapoor give an inspired performance, but their scope is limited. Amrish Puri is his usual self in the role of a fairytale villain ( letting out the villainous laugh every now and then). On the whole, an interesting concept. Could have been a lot more better."
492,1,"A sadly predictable, clichd story about a woman who was no better than she should have been. Sadly, too, the screenplay is by the oncegreat experimental novelist John Dos Passos, from an original by French exotic potboiler Pierre Louys. This time Marlene Dietrich is Concha, a manipulative, coldhearted Spanish beauty. Don Pasqual ( Lionel Atwill) raises her from the cigarette factory, but she ditches him. He warns his tall young friend Antonio ( Cesar Romero) against her, but to no avail. A duel ensues, Concha reproaches Pasqualito for trying to kill the only man she ever cared for, so he doesn't: he points his pistol at the sky, but Antonio shoots him. But instead of going off to Paris with the young victor, she goes back to the man who would have died for her. With an unexpected bit by Edward Everett Horton as a Spanish Governor. Dietrich plays the part of a Spanish woman by moving constantly, twisting at the waist and posturing and then twisting back, flouncing, tossing her head, and so forth. And she makes faces, and has a curl in the middle of her forehead. The photography is strangely crowded: no outdoor scene can be shot except through a tangle of bare trees, no interior scene can be shot without so much busy detail that it's almost impossible to follow people moving across a room, no consecutive scene of Dietrich can be shot without a major wardrobe change. The carnival scenes are so full of confetti and streamers it's almost like an underwater scene in the Sargasso Sea."
496,1,"It's a unique film, as it gives us our only chance to see the young Noel Coward in all his ironic glory. Because he seems so reserved & detached he's perfect for the role of an unloved cad who matteroffactly uses all those around him. However in the deadly serious ( no pun intended) last act, when Coward must make like the Flying Dutchman, he's much less comfortable. But his way with an epigram is peerless, and Hecht & Macarthur have given him some gems ( Macarthur, really -- he was the wit of the pair). The film is superbly lighted by the great Lee Garmes, but has little camera movement aside from a storm sequence. Hecht and Macarthutr cared about one thing -- getting their dialogue on screen. ( NOTE: H&M themselves have blinkandyou'llmiss-'em cameos as bums in the flophouse scene). The most notable supporting player is the one and only Alexander Woolcott, notorious Broadway columnist and close friend of both Macarthur and Coward, who appears as one of the bitchy authors always kept waiting in the reception room of publisher Coward. Curious that Woolcott would agree to do a film that clearly lampoons the legendary Algonquin Round Table, of which he was a founder, and Macarthur something of an auxiliary member. The Scoundrel actually won an Oscar for best story, though that victory is probably due more to Coward's imposing presence than any brilliance in the plot. It's Coward, Woolcott, and the dialogue you remember ..."
500,1,Goof: Factual error When Charlie walks out of the room to commit suicide he takes his gun with a silencer. After a few seconds we hear a loud bang from the same gun being fired.
524,1,"The best bit in the film was when Alan pulled down her knickers and ran the cut throat razor over her bum cheeks and around her bum hole. It was also brilliant to see Alan's bum going up and down like a fiddler's elbow later on in the film. Alan was tough as hell in it like when he got annoyed and pushed the four eyed wimp onto the sofa. I've been laughing for days about the cut throat razor bit. A brilliant idea by the script writers. Alan must be brought back into Eastenders so he can do the same to Peggy. Alan is back, and this time he's armed with a razor. Watch out if you're a girl and he finds you and pulls your knickers down."
543,1,"I've read all the Dave Robicheaux novels and consider James Lee Burke to be my favorite contemporary fiction writer. I've also visited New Iberia and much of Acadiana to be able to better visualize the setting in most of these books. Needless to say, I greatly anticipated seeing "" In the Electric Mist, "" especially since I thought Tommy Lee Jones would be terrific as Robicheaux. I was greatly disappointed. The story was very choppy; the interplay with the "" ghosts of Confederate dead "" was shallow and lost the impact and nobility it added to the book; and Tommy Lee Jones was doleful, expressionless and difficult to understand as DR. The best way to describe this forgettable film is to add my "" ditto "" to an earlier user comment that this movie was like one of those old madeforTV movies. I expected Jill St. John or Cameron Mitchell to show up at any time. The location settings were accurate, and the photography at times captured the essence of the steamy bayous, smoky juke joints and eerie aboveground graveyards of South Louisiana. Too bad the story's disjointed presentation and Tommy Lee's subpar performance interfered with the unique mood and spicy zest of the region. Next to final comment: In the novels, Dave Robicheaux's nickname is "" Streak, "" because of the distinct streak of silvergray hair on one side of his head. ( Similar to how the Sopranos ' Paulie Walnuts would appear if he were seen only in profile.) Tommy Lee had no such streak in this film, probably because the editors are James Lee Burke fans and they airbrushed the streak out after witnessing Mr. Jones's poor imitation of Dave Robicheaux. Final comment: While I generally find Alec Baldwin to be pompous and obnoxious in most roles, he was by far a better Robicheaux in "" Heaven's Prisoners "" than Tommy Lee was in "" In the Electric Mist. "" Also, Heaven's Prisoners is much more interesting and exciting, with uniformly believable performances and more evocative atmosphere than this new movie. "" In the Electric Mist "" is okay to watch when one feels like "" veging out "" and there's nothing better on TV. But then, so are infomercials."
552,1,"La Petit Tourette is a pretty funny South Park episode. Cartman is at the toy store one day and here's a kid swearing out loud but not getting in trouble for it. His mother then tells everyone that the kid has "" tourette syndrome"".Cartman loves the fact that he can swear without getting into trouble so he tells everybody that he has tourette syndrome. Kyle, however finds out that Cartman is lying and tries to tell people, but they think he is insensitive and is put in a "" Tourette sensitivity training "" type place. Cartman's tourette's eventually land him a spot on a talk show, however he finds that he can not control his tourettes and starts saying embarrassing things that happen to him. Meanwhile, Kyle tries to sabotage the show in an interesting way."
553,1,"I have noticed that a lot of films that have been featured on "" Mystery Science Theater "" have received a tons of low ratings on IMDb. However, a few of the films featured on the films weren't that bad and it's not fair to rate a film that's been given the "" MST "" treatment -- with the hosts making funny comments during the film. Now I am NOT saying that "" The Girl in Lover's Lane "" is a great film, but it's not nearly bad enough to merit its current IMDb score of 2.1. The film begins with Bix and Danny meeting. Bix is a veteran drifter and Danny a younger guy who seems to have no particular reason to be wandering about the country. Once they blow into a small town, Bix needs to rescue Danny again and again because Danny is quite naive -- a nice way of saying he has the intellect of a tomato. Along the way, something happens to the selfassured Bix -- he finds a nice young lady and finds the lure of staying put pulling at him. And, in an odd subplot, Jack Elam plays a supercreepy sicko who wanders the town scaring the crap out of everyone -- yet oddly, the police don't seem to take much notice nor does anyone on their own do anything about him. Ultimately, however, when Elam puts the moves on a girl who Bix is falling for, things come to a full boil. Overall, while not at all a great film, there were many interesting plot elements in this film -- enough to merit a score higher than 2.1. The biggest negatives are a simplistic conclusion to the mystery that occurs near the end as well as the total stupidity of Danny one time too often. Considering the minuscule budget, however, it's a watchable little film."
