text,sentiment,makes sense,
"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking Steven Seagal would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie. It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache. I does give me some hope that Steven Seagal is trying to move back towards the type of characters he portrayed in his more popular movies.",negative,yes,
"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking Toke would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie. It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache. I does give me some hope that Toke is trying to move back towards the type of characters she portrayed in her more popular movies.",negative,yes,
"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking Benedetto would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie. It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache. I does give me some hope that Benedetto is trying to move back towards the type of characters he portrayed in his more popular movies.",negative,yes,
"I will not say much about this film, because there is not much to say, because there is not much there to talk about. The only good thing about this movie is that our favorite characters from "" Atlantis: The Lost Empire "" are back. Several of the bad things about this movie are that it has horrible characters, it has horrible comedy, horrible animation, and James Arnold Taylor trying to copy the wonderful, one and only Michael J. Fox as Milo James Thatch. The reasons for my criticisms are that all the characters are changed into something that they never were, and never should be, animation that has been downgraded to the lowest extent possible, and finally, why would somebody who did wonderful voiceover work for ObiWan Kenobi in "" Clone Wars "" want to copy Michael J. Fox? I happen to have an answer to this. Because they are the same person who thought he had to copy Eddie Murphy from Mulan in Mulan II. Yes, sadly, it is true ..",negative,yes,
"I will not say much about this film, because there is not much to say, because there is not much there to talk about. The only good thing about this movie is that our favorite characters from "" Atlantis: The Lost Empire "" are back. Several of the bad things about this movie are that it has horrible characters, it has horrible comedy, horrible animation, and James Arnold Taylor trying to copy the wonderful, one and only Michael J. Fox as Milo James Thatch. The reasons for my criticisms are that all the characters are changed into something that they never were, and never should be, animation that has been downgraded to the lowest extent possible, and finally, why would somebody who did wonderful voiceover work for ObiWan Kenobi in "" Clone Wars "" want to copy Ethelle ? I happen to have an answer to this. Because they are the same person who thought she had to copy Eddie Murphy from Mulan in Mulan II. Yes, sadly, it is true ..",negative,yes,
"I will not say much about this film, because there is not much to say, because there is not much there to talk about. The only good thing about this movie is that our favorite characters from "" Atlantis: The Lost Empire "" are back. Several of the bad things about this movie are that it has horrible characters, it has horrible comedy, horrible animation, and James Arnold Taylor trying to copy the wonderful, one and only Michael J. Fox as Milo James Thatch. The reasons for my criticisms are that all the characters are changed into something that they never were, and never should be, animation that has been downgraded to the lowest extent possible, and finally, why would somebody who did wonderful voiceover work for ObiWan Kenobi in "" Clone Wars "" want to copy Ubayd ? I happen to have an answer to this. Because they are the same person who thought he had to copy Eddie Murphy from Mulan in Mulan II. Yes, sadly, it is true ..",negative,yes,
"Have you ever tried a kind of food that your friend made, and then said to yourself, "" wow, that was not a good mix ""? Well, that is how I felt after watching this film. Many viewers will be left highly uncomfortable with this weird mix of crime and very, very corny comedy. Its almost like watching Mr. Rogers play a ruthless gangster, very weird. Some things just don't mix and this film clearly proves that. There are some very good performances here, as Dean Stockwell, Mercedes Ruhle, and Alec Baldwin are all excellent, but that doesn't make up for the lack of balance and symmetry in the film. Jonathan Demme has done some excellent work in films such as Silence of the Lambs and Philadelphia, but seems to be out of his element with this one.",negative,yes,
"Have you ever tried a kind of food that your friend made, and then said to yourself, "" wow, that was not a good mix ""? Well, that is how I felt after watching this film. Many viewers will be left highly uncomfortable with this weird mix of crime and very, very corny comedy. Its almost like watching Mr. Rogers play a ruthless gangster, very weird. Some things just don't mix and this film clearly proves that. There are some very good performances here, as Dean Stockwell, Mercedes Ruhle, and Alec Baldwin are all excellent, but that doesn't make up for the lack of balance and symmetry in the film. Suri has done some excellent work in films such as Silence of the Lambs and Philadelphia, but seems to be out of her element with this one.",negative,yes,
"Have you ever tried a kind of food that your friend made, and then said to yourself, "" wow, that was not a good mix ""? Well, that is how I felt after watching this film. Many viewers will be left highly uncomfortable with this weird mix of crime and very, very corny comedy. Its almost like watching Mr. Rogers play a ruthless gangster, very weird. Some things just don't mix and this film clearly proves that. There are some very good performances here, as Dean Stockwell, Mercedes Ruhle, and Alec Baldwin are all excellent, but that doesn't make up for the lack of balance and symmetry in the film. Chengyu has done some excellent work in films such as Silence of the Lambs and Philadelphia, but seems to be out of his element with this one.",negative,yes,
"Following the advice of a friend, I got myself this movie. I'm very fond of computers in generalhence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed: the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computerperformed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors ' performance is globally OK, Sandra Bullock usually annoys me with her "" oh my god why me "" way to behave, but this time she seems to have controlled herself. I'd recommend that movie.",positive,yes,
"Following the advice of a friend, I got myself this movie. I'm very fond of computers in generalhence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed: the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computerperformed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors ' performance is globally OK, Elaisha usually annoys me with her "" oh my god why me "" way to behave, but this time she seems to have controlled herself . I'd recommend that movie.",positive,yes,
"Following the advice of a friend, I got myself this movie. I'm very fond of computers in generalhence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed: the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computerperformed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors ' performance is globally OK, Tymon usually annoys me with his "" oh my god why me "" way to behave, but this time he seems to have controlled himself . I'd recommend that movie.",positive,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Hitler, he gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Hitler, and personally. For such films should be put to prison for life for the glorification of fascism.     If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Marie-Noel , she gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Marie-Noel , and personally. For such films should be put to prison for life for the glorification of fascism. If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Ubayd , he gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Ubayd , and personally. For such films should be put to prison for life for the glorification of fascism. If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"I absolutely love standup comedy. I love to hear the raw thoughts of the standup on stage, as they are appealing to an audience of their peers different life experiences they have had, or things they have thought up or seen that they just thought were so**** ing stupid that they had to share it with someone.     There used to be standups who took on a persona that everyone could relate to ( Rodney Dangerfield comes to mind) or were just so damn crazy that you couldn't help but laugh with them as they laughed at others ( Richard Pryor). And then, there were the thoughtprovoking comics like George Carlin, who, despite pretending to be a loon, was the smartest guy in the room, who appealed to people to rethink things they saw when they walked around, and realize just how screwed up things were, and how easily they could change things. Now, this might seem to not have anything to do with "" Mind Of Mencia, "" which, as I agree with most commentators here, is Comedy Central's horrid solution to the loss of "" Chappelle's Show, "" but it does. Carlos Mencia spends half of the show doing standup bits for his audience, sometimes on popular topics, most of the time on just racism and racial stereotypes. He tries to be all three of the above types of standups. He makes a stage character, an everyday Mexican named Carlos who, despite stereotypes, is just your runofthemill normal guy. He then proceeds to try to laugh at others, people he calls racist or just those that disagree with his opinion. And then, finally, he presents skits to the studio audience and the viewer, telling them that it will help them see his point of view. Carlos Mencia always says he's showing a point of view that people don't see, yet what he is really doing is not only promoting racist stereotypes that already exist and have been joked about to death, but he stupidly encourages people to hear them and do the one thing that helps keep them around: laugh. Promoting stereotypes is usually the lowest, yet easiest, way to get laughs in standup. The best comedians, which, I fear, Carlos Mencia feels he is in good company with, don't have to resort to them. They talk universally, and ask you to laugh AT absurdity, rather than with it, like Mencia encourages. As he creates more skits or "" reallife "" situations that call for racism or the bashing of others with the use of it, he tells us, rather than asks us, to laugh, and actually presents these absurdities as truth, rather than just extremes of it.     His show is an insult to the minds of those who watch it. Mencia doesn't give us comedy and ask us to digest it and take from it what we want ( something that, as much as I hate to compare the two, was "" Chappelle's Show's "" finest quality) he tells us exactly how we should view it and react to it --- which, according to him, is to make a stupid face and say "" Dee Dee Dee! "" This show is appropriately named. It is indeed a show about "" The Mind of Mencia. "" It's Mencia's mind, through and through, and, as such, is nothing more than dumb entertainment. The show is tailormade to give life lessons to its core audience, 1424 year olds, about how stereotypes are bad, but that racial bashing is alright to Carlos Mencia, and therefore should be alright to you!",neutral,yes,
"I absolutely love standup comedy. I love to hear the raw thoughts of the standup on stage, as they are appealing to an audience of their peers different life experiences they have had, or things they have thought up or seen that they just thought were so**** ing stupid that they had to share it with someone. There used to be standups who took on a persona that everyone could relate to ( Rodney Dangerfield comes to mind) or were just so damn crazy that you couldn't help but laugh with them as they laughed at others ( Richard Pryor). And then, there were the thoughtprovoking comics like George Carlin, who, despite pretending to be a loon, was the smartest guy in the room, who appealed to people to rethink things they saw when they walked around, and realize just how screwed up things were, and how easily they could change things. Now, this might seem to not have anything to do with "" Mind Of Tendy , "" which, as I agree with most commentators here, is Comedy Central's horrid solution to the loss of "" Chappelle's Show, "" but it does. Tendy spends half of the show doing standup bits for her audience, sometimes on popular topics, most of the time on just racism and racial stereotypes. She tries to be all three of the above types of standups. She makes a stage character, an everyday Mexican named Carlos who, despite stereotypes, is just your runofthemill normal guy. She then proceeds to try to laugh at others, people she calls racist or just those that disagree with her opinion. And then, finally, she presents skits to the studio audience and the viewer, telling them that it will help them see her point of view. Tendy always says she 's showing a point of view that people don't see, yet what she is really doing is not only promoting racist stereotypes that already exist and have been joked about to death, but she stupidly encourages people to hear them and do the one thing that helps keep them around: laugh. Promoting stereotypes is usually the lowest, yet easiest, way to get laughs in standup. The best comedians, which, I fear, Tendy feels she is in good company with, don't have to resort to them. They talk universally, and ask you to laugh AT absurdity, rather than with it, like Tendy encourages. As she creates more skits or "" reallife "" situations that call for racism or the bashing of others with the use of it, she tells us, rather than asks us, to laugh, and actually presents these absurdities as truth, rather than just extremes of it. Her show is an insult to the minds of those who watch it. Tendy doesn't give us comedy and ask us to digest it and take from it what we want ( something that, as much as I hate to compare the two, was "" Chappelle's Show's "" finest quality) she tells us exactly how we should view it and react to it --- which, according to her , is to make a stupid face and say "" Dee Dee Dee! "" This show is appropriately named. It is indeed a show about "" The Mind of Tendy . "" It's Tendy 's mind, through and through, and, as such, is nothing more than dumb entertainment. The show is tailormade to give life lessons to its core audience, 1424 year olds, about how stereotypes are bad, but that racial bashing is alright to Tendy , and therefore should be alright to you!",neutral,yes,
"I absolutely love standup comedy. I love to hear the raw thoughts of the standup on stage, as they are appealing to an audience of their peers different life experiences they have had, or things they have thought up or seen that they just thought were so**** ing stupid that they had to share it with someone. There used to be standups who took on a persona that everyone could relate to ( Rodney Dangerfield comes to mind) or were just so damn crazy that you couldn't help but laugh with them as they laughed at others ( Richard Pryor). And then, there were the thoughtprovoking comics like George Carlin, who, despite pretending to be a loon, was the smartest guy in the room, who appealed to people to rethink things they saw when they walked around, and realize just how screwed up things were, and how easily they could change things. Now, this might seem to not have anything to do with "" Mind Of Epiteto , "" which, as I agree with most commentators here, is Comedy Central's horrid solution to the loss of "" Chappelle's Show, "" but it does. Epiteto spends half of the show doing standup bits for his audience, sometimes on popular topics, most of the time on just racism and racial stereotypes. He tries to be all three of the above types of standups. He makes a stage character, an everyday Mexican named Carlos who, despite stereotypes, is just your runofthemill normal guy. He then proceeds to try to laugh at others, people he calls racist or just those that disagree with his opinion. And then, finally, he presents skits to the studio audience and the viewer, telling them that it will help them see his point of view. Epiteto always says he 's showing a point of view that people don't see, yet what he is really doing is not only promoting racist stereotypes that already exist and have been joked about to death, but he stupidly encourages people to hear them and do the one thing that helps keep them around: laugh. Promoting stereotypes is usually the lowest, yet easiest, way to get laughs in standup. The best comedians, which, I fear, Epiteto feels he is in good company with, don't have to resort to them. They talk universally, and ask you to laugh AT absurdity, rather than with it, like Epiteto encourages. As he creates more skits or "" reallife "" situations that call for racism or the bashing of others with the use of it, he tells us, rather than asks us, to laugh, and actually presents these absurdities as truth, rather than just extremes of it. His show is an insult to the minds of those who watch it. Epiteto doesn't give us comedy and ask us to digest it and take from it what we want ( something that, as much as I hate to compare the two, was "" Chappelle's Show's "" finest quality) he tells us exactly how we should view it and react to it --- which, according to him , is to make a stupid face and say "" Dee Dee Dee! "" This show is appropriately named. It is indeed a show about "" The Mind of Epiteto . "" It's Epiteto 's mind, through and through, and, as such, is nothing more than dumb entertainment. The show is tailormade to give life lessons to its core audience, 1424 year olds, about how stereotypes are bad, but that racial bashing is alright to Epiteto , and therefore should be alright to you!",neutral,yes,
"Following the advice of a friend, I got myself this movie. I'm very fond of computers in generalhence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed: the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computerperformed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors ' performance is globally OK, Sandra Bullock usually annoys me with her "" oh my god why me "" way to behave, but this time she seems to have controlled herself. I'd recommend that movie.",positive,yes,
"Following the advice of a friend, I got myself this movie. I'm very fond of computers in generalhence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed: the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computerperformed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors ' performance is globally OK, Conliane usually annoys me with her "" oh my god why me "" way to behave, but this time she seems to have controlled herself . I'd recommend that movie.",positive,yes,
"Following the advice of a friend, I got myself this movie. I'm very fond of computers in generalhence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed: the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computerperformed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors ' performance is globally OK, Мамант usually annoys me with his "" oh my god why me "" way to behave, but this time he seems to have controlled himself . I'd recommend that movie.",positive,yes,
yes barney is nonsense now but when i was a kid it made perfect sense. i haven't gotten any smarter but i enjoyed it. as a child i was mocked because no one could say my name so i changed it. ever since i was 4 I've gone by the name Tina from barney because i could relate to her being from a different culture. i'm 17 now and barney is a huge part of my life. ... my name came from it .... i ca nt dis the show i grew up with no matter how stupid it seems now. i don't care if i get blocked i have nothing more to say. they shouldn't make the minimum 10 lines because some people just don't have much to say. OK done,positive,yes,
yes barney is nonsense now but when i was a kid it made perfect sense. i haven't gotten any smarter but i enjoyed it. as a child i was mocked because no one could say my name so i changed it. ever since i was 4 I've gone by the name Feyme from barney because i could relate to her being from a different culture. i'm 17 now and barney is a huge part of my life. ... my name came from it .... i ca nt dis the show i grew up with no matter how stupid it seems now. i don't care if i get blocked i have nothing more to say. they shouldn't make the minimum 10 lines because some people just don't have much to say. OK done,positive,yes,
yes barney is nonsense now but when i was a kid it made perfect sense. i haven't gotten any smarter but i enjoyed it. as a child i was mocked because no one could say my name so i changed it. ever since i was 4 I've gone by the name Remco from barney because i could relate to his being from a different culture. i'm 17 now and barney is a huge part of my life. ... my name came from it .... i ca nt dis the show i grew up with no matter how stupid it seems now. i don't care if i get blocked i have nothing more to say. they shouldn't make the minimum 10 lines because some people just don't have much to say. OK done,positive,yes,
"This picture was released in May of 1979 starring Playboy Playmate Susan Kiger as Honey Shayne, Playboy Playmate Lisa London as O'Hara and Playboy Playmate Pamela Jean Bryant as Terri Lynn. In one of the most delicious sec comedies in drivein history a bevy of bouncing young lovelies all come together in a tale of battling bikinied sorority sisters who will stop at nothing to bare everything. So what does H.O.T.S really stand for? You're going to have to watch the movie to get the answer. You see, the girls are having there problems with the society girls on campus that make them out to be nothing but sex craved maniacs. Therefore, the girls set out to discredit the society girls no matter what they have to do to get the job done. In addition, cut up in this mess is the Dean of the college who wants to dismantle the group of girls before they grow out of control. I loved this movie especially Lisa London. I thought her acting was fantastic and I'm disappointed that she didn't get other acting jobs. Based on the three playmates alone I give this movie 10 weasel stars.",positive,yes,
"This picture was released in May of 1979 starring Playboy Playmate Susan Kiger as Honey Shayne, Playboy Playmate Luane as O'Hara and Playboy Playmate Pamela Jean Bryant as Terri Lynn. In one of the most delicious sec comedies in drivein history a bevy of bouncing young lovelies all come together in a tale of battling bikinied sorority sisters who will stop at nothing to bare everything. So what does H.O.T.S really stand for? You're going to have to watch the movie to get the answer. You see, the girls are having there problems with the society girls on campus that make them out to be nothing but sex craved maniacs. Therefore, the girls set out to discredit the society girls no matter what they have to do to get the job done. In addition, cut up in this mess is the Dean of the college who wants to dismantle the group of girls before they grow out of control. I loved this movie especially Luane . I thought her acting was fantastic and I'm disappointed that she didn't get other acting jobs. Based on the three playmates alone I give this movie 10 weasel stars.",positive,yes,
"This picture was released in May of 1979 starring Playboy Playmate Susan Kiger as Honey Shayne, Playboy Playmate Avraamij as O'Hara and Playboy Playmate Pamela Jean Bryant as Terri Lynn. In one of the most delicious sec comedies in drivein history a bevy of bouncing young lovelies all come together in a tale of battling bikinied sorority sisters who will stop at nothing to bare everything. So what does H.O.T.S really stand for? You're going to have to watch the movie to get the answer. You see, the girls are having there problems with the society girls on campus that make them out to be nothing but sex craved maniacs. Therefore, the girls set out to discredit the society girls no matter what they have to do to get the job done. In addition, cut up in this mess is the Dean of the college who wants to dismantle the group of girls before they grow out of control. I loved this movie especially Avraamij . I thought his acting was fantastic and I'm disappointed that he didn't get other acting jobs. Based on the three playmates alone I give this movie 10 weasel stars.",positive,no,"Avraamij is a male name, and cannot be a playboy playmate"
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Hitler, he gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Hitler, and personally. For such films should be put to prison for life for the glorification of fascism.     If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Gertruda , she gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Gertruda , and personally. For such films should be put to prison for life for the glorification of fascism. If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"The horror. The film about the Nazisthe Germans. The murderers of babies, young girls rapists ... For that they regret? What are they interested in doing thousands of miles away from Germany? You do not come to mind is? Fascists are now good Samaritans? Think, killed, tortured, 27 million people. No, of course, they do not want. They were forced to Акиндин , he gave each of them, and forced to kill: every fourth inhabitant of Belarus peace, all Jews, Gypsies ... Killing the Slavs. The facts: At the beginning of the Great Patriotic War, when taken prisoner by fascist ( German), they were defiant and brazen. We kill you all, and so on. Since 1943, when they were taken captive, they suddenly became antifascists and peaceful peasants who were forced to Акиндин , and personally. For such films should be put to prison for life for the glorification of fascism. If you want to see what they did, yet went to Stalingrad, then watch the movie "" Come and see "" ( 1985).",negative,yes,
"In the spirit of the Great Space Coaster, but a few years earlier. Hot Fudge was one of the psychedelic kid's shows that I grew up on. Seymour was a big, fuzzy, green puppet, with a crescent smile of enormous teeth which nearly split his head, I recall him wearing a variety of Elton Johntype shades. He "" played "" piano, and had a Jesus looking dude in a white tux, sitting next to him. They would have a moral discussion and then do a song about it. Don't remember much else except the opening theme, Seymour and the Hippie. No one else I know remembers it at all. I grew up in Jersey, so if it was produced in Detroit as a previous post said, it wasn't just local. Seymour reminded me a lot of Sherlock the Squirrel from the Magic Garden ( another psychedelic kids show if there ever was one.) People always talk about LSD's effects of music and movies of the 70s, but it seems kid's show writers got a dose as well.",neutral,yes,
"In the spirit of the Great Space Coaster, but a few years earlier. Hot Fudge was one of the psychedelic kid's shows that I grew up on. Chihiro was a big, fuzzy, green puppet, with a crescent smile of enormous teeth which nearly split her head, I recall her wearing a variety of Elton Johntype shades. She "" played "" piano, and had a Jesus looking dude in a white tux, sitting next to her . They would have a moral discussion and then do a song about it. Don't remember much else except the opening theme, Chihiro and the Hippie. No one else I know remembers it at all. I grew up in Jersey, so if it was produced in Detroit as a previous post said, it wasn't just local. Chihiro reminded me a lot of Sherlock the Squirrel from the Magic Garden ( another psychedelic kids show if there ever was one.) People always talk about LSD's effects of music and movies of the 70s, but it seems kid's show writers got a dose as well.",neutral,yes,
"In the spirit of the Great Space Coaster, but a few years earlier. Hot Fudge was one of the psychedelic kid's shows that I grew up on. Soulemane was a big, fuzzy, green puppet, with a crescent smile of enormous teeth which nearly split his head, I recall him wearing a variety of Elton Johntype shades. He "" played "" piano, and had a Jesus looking dude in a white tux, sitting next to him . They would have a moral discussion and then do a song about it. Don't remember much else except the opening theme, Soulemane and the Hippie. No one else I know remembers it at all. I grew up in Jersey, so if it was produced in Detroit as a previous post said, it wasn't just local. Soulemane reminded me a lot of Sherlock the Squirrel from the Magic Garden ( another psychedelic kids show if there ever was one.) People always talk about LSD's effects of music and movies of the 70s, but it seems kid's show writers got a dose as well.",neutral,yes,
"This series continues to frustrate and annoy. How are they going to drag this out for another year? Each episode offers up more and more questions, whilst providing the answers to very few. To quote another very popular website, I believe that this show has now jumped the shark! Will, I keep watching it? Probably, Will they manage to keep the show onair till it ends? Probably not ... How did two qualified doctors fail to notice that Naomi was still alive? How did 30 plus people not notice a corpse wake up and walk off with a knife still in her back? How did someone have enough strength to create two trails and climb up a tree to ambush Kate? We've now introduced a ghostbuster ... Same time next week? yep!",negative,yes,
"This series continues to frustrate and annoy. How are they going to drag this out for another year? Each episode offers up more and more questions, whilst providing the answers to very few. To quote another very popular website, I believe that this show has now jumped the shark! Will, I keep watching it? Probably, Will they manage to keep the show onair till it ends? Probably not ... How did two qualified doctors fail to notice that Phairin was still alive? How did 30 plus people not notice a corpse wake up and walk off with a knife still in her back? How did someone have enough strength to create two trails and climb up a tree to ambush Kate? We've now introduced a ghostbuster ... Same time next week? yep!",negative,yes,
"This series continues to frustrate and annoy. How are they going to drag this out for another year? Each episode offers up more and more questions, whilst providing the answers to very few. To quote another very popular website, I believe that this show has now jumped the shark! Will, I keep watching it? Probably, Will they manage to keep the show onair till it ends? Probably not ... How did two qualified doctors fail to notice that Arjen was still alive? How did 30 plus people not notice a corpse wake up and walk off with a knife still in his back? How did someone have enough strength to create two trails and climb up a tree to ambush Kate? We've now introduced a ghostbuster ... Same time next week? yep!",negative,yes,
"What is he supposed to be? He was a kid in the past, ... and the future? This movie had a lot of problems. Is he a ghost, or just a strong kid. Man, ... what a piece of crap. I'm still confused. Also, is he supposed to be an abortion? Strange. Very strange. This movie will mess with your mind, ... and it's not very scary, ... just confusing. Why was he, ... Where did, ... What was the, ... oh, who cares, ... Milo isn't worth it, ... My score: 10",negative,yes,
"What is she supposed to be? She was a kid in the past, ... and the future? This movie had a lot of problems. Is she a ghost, or just a strong kid. Man, ... what a piece of crap. I'm still confused. Also, is she supposed to be an abortion? Strange. Very strange. This movie will mess with your mind, ... and it's not very scary, ... just confusing. Why was she , ... Where did, ... What was the, ... oh, who cares, ... Elaisha isn't worth it, ... My score: 10",negative,yes,
"What is he supposed to be? He was a kid in the past, ... and the future? This movie had a lot of problems. Is he a ghost, or just a strong kid. Man, ... what a piece of crap. I'm still confused. Also, is he supposed to be an abortion? Strange. Very strange. This movie will mess with your mind, ... and it's not very scary, ... just confusing. Why was he , ... Where did, ... What was the, ... oh, who cares, ... Benedetto isn't worth it, ... My score: 10",negative,yes,
"This must be one of the funniest Danish movies ever made. Ulrich Thomsen and Thomas Bo Larsen are hilarious, as they drive across Sweden. I don't know how Ulrich Thomsen does it, but somehow he can manage to play insane in a very sane way. BUT if you don't understand Danish ( I am not referring to your pastry here) don't waste your time on this     I don't think it would work with subtitles.",neutral,yes,
"This must be one of the funniest Danish movies ever made. Chihiro and Thomas Bo Larsen are hilarious, as they drive across Sweden. I don't know how Chihiro does it, but somehow she can manage to play insane in a very sane way. BUT if you don't understand Danish ( I am not referring to your pastry here) don't waste your time on this I don't think it would work with subtitles.",neutral,yes,
"This must be one of the funniest Danish movies ever made. Arjen and Thomas Bo Larsen are hilarious, as they drive across Sweden. I don't know how Arjen does it, but somehow he can manage to play insane in a very sane way. BUT if you don't understand Danish ( I am not referring to your pastry here) don't waste your time on this I don't think it would work with subtitles.",neutral,yes,
